covariate_index,selection_proportion
432,0.03333333333333333
433,0.06666666666666667
434,0.06666666666666667
435,0.03333333333333333
436,0.0
437,0.06666666666666667
438,0.03333333333333333
439,0.0
440,0.06666666666666667
441,0.06666666666666667
442,0.03333333333333333
443,0.03333333333333333
444,0.06666666666666667
445,0.0
446,0.06666666666666667
447,0.06666666666666667
448,0.06666666666666667
449,0.03333333333333333
450,0.03333333333333333
451,0.03333333333333333
452,0.0
453,0.13333333333333333
454,0.03333333333333333
455,0.03333333333333333
456,0.03333333333333333
457,0.0
458,0.1
459,0.03333333333333333
460,0.06666666666666667
461,0.06666666666666667
462,0.0
463,0.03333333333333333
464,0.06666666666666667
465,0.0
466,0.0
467,0.06666666666666667
468,0.03333333333333333
469,0.1
470,0.03333333333333333
471,0.0
472,0.03333333333333333
473,0.03333333333333333
474,0.03333333333333333
475,0.06666666666666667
476,0.03333333333333333
477,0.1
478,0.06666666666666667
479,0.06666666666666667
480,0.03333333333333333
481,0.03333333333333333
482,0.06666666666666667
483,0.0
484,0.0
485,0.06666666666666667
486,0.06666666666666667
487,0.06666666666666667
488,0.03333333333333333
489,0.0
490,0.03333333333333333
491,0.1
492,0.03333333333333333
493,0.03333333333333333
494,0.0
495,0.03333333333333333
496,0.03333333333333333
497,0.1
498,0.0
499,0.06666666666666667
500,0.0
