covariate_index,amd_after
Xs130,0.05752520666424886
Xs131,0.024099914596468593
Xs132,0.18912443895071565
Xs133,0.14337686035960862
Xs134,0.08702986974664143
Xs135,0.09354303505414374
Xs136,0.22997541518004044
Xs137,0.06278692740426527
Xs138,0.08185706564183834
Xs139,0.022356060048434302
Xs140,0.13902442577656268
Xs141,0.1705654917700185
Xs142,0.13922142726757236
Xs143,0.016579096720855526
Xs144,0.25999276004443184
Xs145,0.046317252266407274
Xs146,0.09615071073013404
Xs147,0.25309650878937384
Xs148,0.007905564075344292
Xs149,0.13728279792444367
Xs150,0.07357274929594063
Xs151,0.1765619668082325
Xs152,0.13589462253701662
Xs153,0.056845173830418774
Xs154,0.08665388435623433
Xs155,0.01821572802331048
Xs156,0.08331278900214263
Xs157,0.035376389823094406
Xs158,0.1228151324927851
Xs159,0.1085664139039737
Xs160,0.03292896930980612
Xs161,0.15852203632313877
Xs162,0.122168933489191
Xs163,0.10503326663407787
Xs164,0.04813955363780012
Xs165,0.1268033032471265
Xs166,0.06387591670848804
Xs167,0.06395306792104725
Xs168,0.03647024300027517
Xs169,0.05442093699821159
Xs170,0.16944001272977618
Xs171,0.026676955502594482
Xs172,0.05425822678388614
Xs173,0.017987035986980256
Xs174,0.13039730879532696
Xs175,0.13337082783254128
Xs176,0.07357941896729955
Xs177,0.08811169950121903
Xs178,0.09491996823507734
Xs179,0.1536891229257753
Xs180,0.18079684026403614
Xs181,0.09897683177497135
Xs182,0.07605043819579105
Xs183,0.02883677654778326
Xs184,0.0005202677276509699
Xs185,0.04663380377789259
Xs186,0.24027671145818708
Xs187,0.21065206933554081
Xs188,0.3334026190697123
Xs189,0.13766205539394163
Xs190,0.18034469616140417
Xs191,0.13320176701647593
Xs192,0.022672017143395624
Xs193,0.008279322134330068
Xs194,0.033325433452339015
Xs195,0.05454852382076662
Xs196,0.04861485383537967
Xs197,0.07060233278793249
Xs198,0.09247448144495037
Xs199,0.02112321694785412
Xs200,0.13223797998133524
Xs201,0.2774226910918466
Xs202,0.11498078875282766
Xs203,0.0468076363955101
Xs204,0.06368943997692232
Xs205,0.04321338078476153
