coef_index,coef_value
Xs399,0.0
Xs400,-0.0
Xs401,-0.0
Xs402,-0.06285567393289544
Xs403,-0.0
Xs404,-0.0
Xs405,-0.0
Xs406,0.0237402535340011
Xs407,0.019484595663025923
Xs408,0.0
Xs409,0.0
Xs410,0.0
Xs411,0.0
Xs412,-0.0
Xs413,-0.0
Xs414,0.0
Xs415,-0.0
Xs416,0.0
Xs417,0.0
Xs418,0.0
Xs419,0.0
Xs420,0.017714493466336575
Xs421,0.0
Xs422,-0.0
Xs423,-0.0
Xs424,0.0
Xs425,-0.0
Xs426,-0.0
Xs427,0.0006258869581572315
Xs428,0.0
Xs429,-0.0
Xs430,0.0
Xs431,0.012583854326573742
Xs432,-0.0
Xs433,-0.0
Xs434,0.0
Xs435,-0.0
Xs436,0.0
Xs437,0.03228394628631967
Xs438,-0.04098049319078554
Xs439,-0.02941321159376268
Xs440,-0.0
Xs441,0.0
Xs442,-0.0
Xs443,-0.0
Xs444,-0.0
Xs445,-0.0
Xs446,0.0
Xs447,-0.0
Xs448,0.0
Xs449,0.0
Xs450,-0.014581786307717231
Xs451,0.005857399262005547
Xs452,-0.0
Xs453,-0.0
Xs454,0.0
Xs455,0.0
Xs456,0.0
Xs457,0.12180763884458816
Xs458,0.0
Xs459,-0.0
Xs460,0.0
Xs461,-0.0
Xs462,0.0
Xs463,0.006241720253955864
Xs464,0.0
Xs465,-0.0
Xs466,-0.0
Xs467,0.0
Xs468,-0.01211688582198035
Xs469,-0.0
Xs470,0.0
