covariate_index,amd_before
Xs153,0.09135127905389089
Xs154,0.09050470897654837
Xs155,0.023769769036399487
Xs156,0.07905295545479553
Xs157,0.06890080046364175
Xs158,0.0670270809635514
Xs159,0.10526933061396049
Xs160,0.3587423689663002
Xs161,0.16438143214607898
Xs162,0.016557021891345843
Xs163,0.07377862891424722
Xs164,0.1569614606890408
Xs165,0.2842476807094605
Xs166,0.03670554975542585
Xs167,0.20020153810743033
Xs168,0.23972092003925888
Xs169,0.10922163538726018
Xs170,0.03236653239495946
Xs171,0.018956851728185786
Xs172,0.30486511928329135
Xs173,0.09685649530693242
Xs174,0.029812196173394305
Xs175,0.1677286707190832
Xs176,0.10579631714584567
Xs177,0.049218484125398004
Xs178,0.22325992026417388
Xs179,0.03550861109792804
Xs180,0.21440814980482772
Xs181,0.04554687806929578
Xs182,0.015050862915200823
Xs183,0.06742783752551654
Xs184,0.11001309043069356
Xs185,0.040183094494576466
Xs186,0.15577877281493335
Xs187,0.17756086301271667
Xs188,0.12930671653842213
Xs189,0.13350984610269112
Xs190,0.13937699391765074
Xs191,0.021336581330382264
Xs192,0.05895688748288406
Xs193,0.12906473441714664
Xs194,0.13930045291493193
Xs195,0.1900357671392754
Xs196,0.08853377437712256
Xs197,0.3068334484898065
Xs198,0.13974047959546365
Xs199,0.2811430669596395
Xs200,0.22139134886198847
Xs201,0.13385898990472667
Xs202,0.18540832302675025
Xs203,0.1720595561424555
Xs204,0.15306185153611077
Xs205,0.04882780869078973
Xs206,0.03176943167722466
Xs207,0.01806117486686005
Xs208,0.036027632395758014
Xs209,0.07741398547113298
Xs210,0.1604008887398644
Xs211,0.16005359654743068
Xs212,0.08714307469929661
Xs213,0.21972749184712634
Xs214,0.2503481871249274
Xs215,0.276171617221755
Xs216,0.2940055114746921
Xs217,0.16262560938673837
Xs218,0.05517868383549067
Xs219,0.039917896142360826
Xs220,0.2189891205894264
Xs221,0.3609312264846202
Xs222,0.14648910798228182
Xs223,0.0933813650468355
Xs224,0.23247417255728225
Xs225,0.04925596124916207
Xs226,0.03923272572184168
Xs227,0.1414546718959736
Xs228,0.10944611163827019
Xs229,0.010062278180144033
Xs230,0.08097721868900762
Xs231,0.05235787061136839
Xs232,0.27415470067948167
Xs233,0.05671083265546614
Xs234,0.11069156021677787
Xs235,0.18740271573928907
Xs236,0.12427038968736707
Xs237,0.009312267058931286
Xs238,0.0205455295014371
Xs239,0.03663139832512492
Xs240,0.010970652785228237
Xs241,0.14432685622858898
Xs242,0.258630358093939
Xs243,0.13258684223194486
Xs244,0.1916301290074971
Xs245,0.2785712127337273
Xs246,0.026580103555012106
Xs247,0.059883081451220205
Xs248,0.013715430485291027
Xs249,0.0976715320148642
Xs250,0.2307767737596541
Xs251,0.05509555242621855
Xs252,0.2019991596455346
Xs253,0.16272845668912198
Xs254,0.011758383353188876
Xs255,0.08465813575481723
Xs256,0.0033643418441024055
Xs257,0.07446711226741742
Xs258,0.18016378607589584
Xs259,0.21309902345611886
Xs260,0.1298951153140503
Xs261,0.036480836524413376
Xs262,0.08517051974498381
Xs263,0.044297967465696045
Xs264,0.2674542219198538
Xs265,0.04232345881609034
Xs266,0.06557854530616962
Xs267,0.1999345264730694
Xs268,0.03435244529531517
Xs269,0.189714253514066
Xs270,0.16451872431482925
Xs271,0.08581882419170205
Xs272,0.10954113249389641
Xs273,0.004025813715294275
Xs274,0.13713363892907415
Xs275,0.1305430497195251
Xs276,0.17625010000017172
Xs277,0.0018987246767108844
Xs278,0.17822123250338046
Xs279,0.1767223595072977
Xs280,0.1999918688045515
Xs281,0.0764645235743096
Xs282,0.3046984453832066
Xs283,0.261468080457255
Xs284,0.01226349336065408
Xs285,0.12784672224143978
Xs286,0.19787292604868453
Xs287,0.04511097248456403
Xs288,0.022811431039359162
Xs289,0.07857837493999348
Xs290,0.01022357294173485
Xs291,0.020575611171892452
Xs292,0.08968306596428391
Xs293,0.015420191393737721
Xs294,0.08237681854452536
Xs295,0.008214031600953728
Xs296,0.02236393371313048
Xs297,0.23942244081628555
Xs298,0.1116760034596962
Xs299,0.3247529046239388
Xs300,0.019680954831925522
Xs301,0.06212965811060234
Xs302,0.09298187052946646
Xs303,0.034171370019524576
Xs304,0.04555779420543769
Xs305,0.14696240822697937
Xs306,0.09922004800989746
Xs307,0.11186173856613768
Xs308,0.021922803227495465
Xs309,0.07548275914869212
Xs310,0.12203925238711394
Xs311,0.0937615601761016
Xs312,0.012828778207754968
Xs313,0.05137175512929113
Xs314,0.03718793147943392
Xs315,0.1097242241800308
Xs316,0.12424308918493399
Xs317,0.39405449287267963
Xs318,0.17448162006500018
Xs319,0.12667492673782613
Xs320,0.1204195353204833
Xs321,0.03846664002616298
Xs322,0.03474647348076419
Xs323,0.14407851861843984
Xs324,0.21793972586448312
Xs325,0.16713071451299563
Xs326,0.08130499338173508
Xs327,0.03557895116464021
Xs328,0.00136381732490186
Xs329,0.063382597394883
Xs330,0.05809455091628195
Xs331,0.12392969383151542
Xs332,0.07951085017576534
Xs333,0.1890361214067839
Xs334,0.16627702279080891
Xs335,0.07799745779391698
Xs336,0.09563342280223097
Xs337,0.08879143182030082
Xs338,0.04451638222024948
Xs339,0.2010353039692735
Xs340,0.13680615059084725
Xs341,0.13852510834417742
Xs342,0.1371095177923602
Xs343,0.10851297745821908
Xs344,0.02323860930406988
Xs345,0.03803957834867617
Xs346,0.19935368411760063
Xs347,0.12203315788218055
Xs348,0.04297799509657379
Xs349,0.1923358692140218
Xs350,0.09793585876685476
